scope,uf,municipio,lei_numero,lei_nome,data,url_integra,fonte,tipo_lei
estadual,AC,,Lei nº 4.132/2023,Lei Estadual de Inovação do Acre,2023-07-17,https://legis.ac.gov.br/detalhar/5662,Assembleia Legislativa do Acre (ALEAC),marco_cti_inovacao
estadual,AL,,Lei nº 8.956/2023,Lei Estadual de Inovação de Alagoas,2023-09-04,https://sapl.al.al.leg.br/media/sapl/public/normajuridica/2023/2636/lei_no_8.956_de_4_de_setembro_de_2023.pdf,Assembleia Legislativa de Alagoas (ALE),marco_cti_inovacao
estadual,AM,,Lei Ordinária nº 3.095/2006,Lei Estadual de Inovação do Amazonas,2006-11-17,https://sapl.al.am.leg.br/media/sapl/public/normajuridica/2006/7550/7550_texto_integral.pdf,Assembleia Legislativa do Amazonas (ALEAM),marco_cti_inovacao
estadual,AP,,Lei Ordinária nº 2.333/2018,Lei Estadual de Inovação do Amapá,2018-04-25,https://www.al.ap.gov.br/ver_texto_lei.php?iddocumento=87613,Assembleia Legislativa do Amapá (ALAP),marco_cti_inovacao
estadual,BA,,Lei nº 14.315/2021,Lei Estadual de Inovação da Bahia,2021-06-17,https://www.ba.gov.br/secti/sites/site-secti/files/2025-06/di%C3%A1rio%20oficial.pdf,"Secretaria de Ciência, Tecnologia e inovação da Bahia (SECTI/BA)",marco_cti_inovacao
estadual,CE,,Lei nº 14.220/2008,Lei Estadual de Inovação do Ceará,2008-10-16,https://belt.al.ce.gov.br/index.php/legislacao-do-ceara/organizacao-tematica/ciencia-e-tecnologia-e-educacao-superior/item/10826-lei-complementar-n-335-de-07-10-2024-d-o-07-10-2024,Assembleia Legislativa do Ceará (ALECE),marco_cti_inovacao
estadual,DF,,Lei nº 6.620/2020,"Lei Distrital de Ciência, Tecnologia e Inovação",2020-06-10,https://www.sinj.df.gov.br/sinj/Norma/2f476c9919c0485aa7e2373dac2977de/Lei_6620_10_06_2020.html,Sistema Integrado de Normas Jurídicas do DF (SINJ-DF),marco_cti_inovacao
estadual,ES,,Lei Complementar nº 642/2012,Lei Estadual de Inovação do Espírito Santo,2012-10-15,https://www3.al.es.gov.br/Arquivo/Documents/legislacao/html/LEC6422012.html?identificador=330030003400350036003A004C00,Assembleia Legislativa do Espírito Santo (ALES),marco_cti_inovacao
estadual,GO,,Lei nº 21.615/2022,Lei Estadual de Inovação de Goiás,2022-11-07,https://legisla.casacivil.go.gov.br/api/v2/pesquisa/legislacoes/106312/pdf,Casa Civil do Estado de Goiás,marco_cti_inovacao
estadual,MA,,Lei nº 11.733/2022,Lei Estadual de Inovação do Maranhão,2022-05-26,https://dados.uema.br/wp-content/uploads/2023/11/LEI_11733_Marco_Ciencia_Tecnologia.pdf,Universidade Estadual do Maranhão (UEMA),marco_cti_inovacao
estadual,MG,,Lei nº 17.348/2008,Lei Estadual de Inovação de Minas Gerais,2008-01-17,https://www.almg.gov.br/legislacao-mineira/texto/LEI/17348/2008/?cons=1,Assembleia Legislativa de Minas Gerais (ALMG),marco_cti_inovacao
estadual,MS,,Lei nº 6.380/2024,Lei Estadual de Inovação do Mato Grosso do Sul,2024-12-30,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/2cab8d75940ca72e04256d1a004acf14/a209f58612d35d9d04258c0600446f11?OpenDocument,Governo do Estado do Mato Grosso do Sul,marco_cti_inovacao
estadual,MT,,Lei Complementar nº 650/2019,Lei Estadual de Inovação do Mato Grosso,2019-12-20,https://app1.sefaz.mt.gov.br/sistema/legislacao/leicomplestadual.nsf/9733a1d3f5bb1ab384256710004d4754/aae880048b3cae7c042584d900440588?OpenDocument,Secretaria da Fazenda do Mato Grosso (SEFAZ-MT),marco_cti_inovacao
estadual,PA,,Lei nº 8.426/2016,Lei Estadual de Inovação do Pará,2016-11-16,http://bancodeleis.alepa.pa.gov.br:8080/lei8426_2016_57924.pdf,Assembleia Legislativa do Pará (ALEPA),marco_cti_inovacao
estadual,PB,,Lei nº 12.191/2022,Lei Estadual de Inovação da Paraíba,2022-01-12,https://sapl3.al.pb.leg.br/media/sapl/public/normajuridica/2022/14855/14855_texto_integral.pdf,Assembleia Legislativa da Paraíba (ALPB),marco_cti_inovacao
estadual,PE,,Lei Complementar nº 400/2018,Lei Estadual de Inovação de Pernambuco,2018-12-18,https://legis.alepe.pe.gov.br/texto.aspx?tiponorma=2&numero=400&complemento=0&ano=2018&tipo=&url=,Assembleia Legislativa de Pernambuco (ALEPE),marco_cti_inovacao
estadual,PI,,Lei nº 7.511/2021,Lei Estadual de Inovação do Piauí,2021-06-04,https://sapl.al.pi.leg.br/media/sapl/public/normajuridica/2021/4915/lei_no_7.511_medidas_de_incentivo__inovao_e__pesquisa_cientfica.pdf,Assembleia Legislativa do Piauí (ALEPI),marco_cti_inovacao
estadual,PR,,Lei nº 20.541/2021,Lei Estadual de Inovação do Paraná,2021-04-20,https://www.legislacao.pr.gov.br/legislacao/pesquisarAto.do?action=exibir&codAto=246931&indice=1&totalRegistros=1&dt=31.4.2021.16.52.7.683,Casa Civil do Estado do Paraná,marco_cti_inovacao
estadual,RJ,,Lei nº 5.361/2008,Lei Estadual de Inovação do Rio de Janeiro,2008-12-29,https://www3.alerj.rj.gov.br/lotus_notes/default.asp?id=144&url=L3NjcHJvMTkyMy5uc2YvMThjMWRkNjhmOTZiZTNlNzgzMjU2NmVjMDAxOGQ4MzMvNGRiODA2YzczYTY1ZWY2MDAzMjU4NGNkMDA3N2VjNjE/T3BlbkRvY3VtZW50,Assembleia Legislativa do Rio de Janeiro (ALERJ),marco_cti_inovacao
estadual,RN,,Lei Complementar nº 716/2022,Lei Estadual de Inovação do Rio Grande do Norte,2022-06-30,https://www.al.rn.leg.br/storage/legislacao/2022/fuwb1apu99ivp3tbqznl1c2shihdjk.pdf,Assembleia Legislativa do Rio Grande do Norte (ALRN),marco_cti_inovacao
estadual,RO,,Lei nº 4.950/2021,Lei Estadual de Inovação de Rondônia,2021-01-11,https://sapl.al.ro.leg.br/media/sapl/public/normajuridica/2021/9628/l4950.pdf,Assembleia Legislativa de Rondônia (ALERO),marco_cti_inovacao
estadual,RS,,Lei Complementar nº 15.639/2021,Lei Estadual de Inovação do Rio Grande do Sul,2021-05-31,https://sict.rs.gov.br/upload/arquivos/202106/01142105-lei-n-15-639-de-31-de-maio-de-2021.pdf,"Secretaria de inovação, Ciência e Tecnologia do Rio Grande do Sul (SICT-RS)",marco_cti_inovacao
estadual,SC,,Lei nº 14.328/2008,Lei Estadual de Inovação de Santa Catarina,2008-01-15,https://sbpcsc.paginas.ufsc.br/files/2018/02/lei_inovacao.pdf,Universidade Federal de Santa Catarina (UFSC),marco_cti_inovacao
estadual,SE,,Lei nº 6.794/2009,Lei Estadual de Inovação de Sergipe,2009-12-02,https://al.se.leg.br/Legislacao/Ordinaria/2009/O67942009.pdf,Assembleia Legislativa de Sergipe (ALESE),marco_cti_inovacao
estadual,SP,,Lei Complementar nº 1.049/2008,Lei Estadual de Inovação de São Paulo,2008-06-19,https://www.al.sp.gov.br/repositorio/legislacao/lei.complementar/2008/lei.complementar-1049-19.06.2008.html,Assembleia Legislativa de São Paulo (ALESP),marco_cti_inovacao
estadual,TO,,Lei nº 2.458/2011,Lei Estadual de Inovação do Tocantins,2011-07-05,https://www.al.to.leg.br/arquivo/27747,Assembleia Legislativa do Tocantins (ALETO),marco_cti_inovacao
federal,,,Lei nº 11.196/2005,Lei do Bem,2005-11-21,https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2005/lei/l11196.htm,Presidência da República,marco_cti_inovacao
federal,,,Lei nº 13.243/2016,"Marco Legal de Ciência, Tecnologia e Inovação",2016-01-11,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/lei/l13243.htm,Presidência da República,marco_cti_inovacao
federal,,,Lei Complementar nº 182/2021,Marco Legal de Empreendedorismo Inovador e Startups,2021-06-01,https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp182.htm,Presidência da República,marco_cti_inovacao
municipal,AL,Maceió,Lei nº 6.902/2019,Lei Municipal de Inovação de Maceió,2019-06-26,https://www.maceio.al.leg.br/documentos/docs/doc.php?filepath=leis&id=6590,Câmara Municipal de Maceió,marco_cti_inovacao
municipal,AM,Manaus,Lei nº 3.014/2023,Lei municipal de Fomento às Startups de Manaus,2023-01-11,https://sapl.cmm.am.gov.br/media/sapl/public/normajuridica/2023/6889/lei_n_3014_de_11_jan_2023.pdf,Câmara Municipal de Manaus,fomento_startups
municipal,AP,Macapá,Lei complementar nº 156/2022,Lei do Programa Inova Macapá,2022-12-27,https://drive.google.com/file/d/1TyiUN49BDxByWiQaqsYp7c1hzuJ6uAwF/view?usp=sharing,Portal CR2 - Prefeitura de Macapá,programa_inovacao
municipal,BA,Salvador,Lei nº 9.534/2020,Lei Municipal de Inovação de Salvador,2020-08-12,https://www2.sefaz.salvador.ba.gov.br/storage/1945/53iGdw4oFNrlr3JrjDNacZdpgsyUKx-metaOS41MzQgLSBET00gZGUgMTMuMDguMjAyMC5wZGY=-.pdf,Prefeitura de Salvador,marco_cti_inovacao
municipal,CE,Fortaleza,Lei nº 11.382/2023,Lei Municipal de Inovação de Fortaleza,2023-08-30,https://www.sefin.fortaleza.ce.gov.br/anexoCT/26/fosj1ldf1.1jw936/pdf/LEI%20N%C2%BA%2011,Secretaria de Finanças de Fortaleza (SEFIN),marco_cti_inovacao
municipal,ES,Vitória,Lei nº 7.871/2009,Lei Municipal de Inovação de Vitória,2009-12-21,https://camarasempapel.cmv.es.gov.br/Arquivo/Documents/legislacao/html/L78712009.html?identificador=37003800360037003A004C00,Câmara Municipal de Vitória,marco_cti_inovacao
municipal,GO,Goiânia,Decreto nº 3.955/2022,Lei municipal de Sandbox Regulatório de Goiania,2022-08-26,https://www.goiania.go.gov.br/html/gabinete_civil/sileg/dados/legis/2022/dc_20220926_000003955.html,Prefeitura de Goiânia,sandbox_regulatorio
municipal,MG,Belo Horizonte,Lei nº 11.838/2025,Lei Municipal de Inovação de Belo Horizonte,2025-03-31,https://cmbhsildownload.cmbh.mg.gov.br/silinternet/servico/download/documentoDaNorma?idDocDaNorma=2c907f7695f1daae0195f1ddb4fc0003,Câmara Municipal de Belo Horizonte,marco_cti_inovacao
municipal,MS,Campo Grande,Lei nº 6.786/2022,Lei Municipal de Inovação de Campo Grande,2022-03-09,https://oabms.org.br/wp-content/uploads/2022/03/Pol%C3%ADtica-Municipal-de-Inova%C3%A7%C3%A3o.pdf,Ordem dos Advogados do Brasil - Mato Grosso do Sul (OAB-MS),marco_cti_inovacao
municipal,MT,Cuiabá,Lei nº 6.920/2023,Lei municipal de Fomento às Startups de Cuiabá,2023-04-05,https://legislativo.camaracuiaba.mt.gov.br/Arquivo/Documents/legislacao/html/L69202023.html,Câmara Municipal de Cuiabá,fomento_startups
